Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
39535.0,72570.0,43501.0,29069.0,8990701.0,2019,Genesee,26,0
39294.0,72184.0,43281.0,28903.0,8949440.0,2019,Genesee,26,0
39054.0,71846.0,42982.0,28864.0,8882287.0,2019,Genesee,26,0
38762.0,71456.0,42647.0,28809.0,8791548.0,2019,Genesee,26,0
38632.0,71527.0,42479.0,29048.0,8835236.0,2019,Genesee,26,0
38368.0,71188.0,42139.0,29049.0,8802015.0,2019,Genesee,26,0
37962.0,70740.0,41696.0,29044.0,8668107.0,2019,Genesee,26,0
39653.0,72929.0,43629.0,29300.0,9062314.0,2019,Genesee,26,0
2062.0,3571.0,2458.0,1113.0,402500.0,2019,Gladwin,27,0
2035.0,3489.0,2416.0,1073.0,393920.0,2019,Gladwin,27,0
2013.0,3461.0,2403.0,1058.0,392095.0,2019,Gladwin,27,0
2008.0,3470.0,2411.0,1059.0,380926.0,2019,Gladwin,27,0
1985.0,3435.0,2374.0,1061.0,375782.0,2019,Gladwin,27,0
1955.0,3381.0,2346.0,1035.0,369474.0,2019,Gladwin,27,0
1926.0,3340.0,2313.0,1027.0,364336.0,2019,Gladwin,27,0
1906.0,3299.0,2277.0,1022.0,355978.0,2019,Gladwin,27,0
1884.0,3219.0,2239.0,980.0,346800.0,2019,Gladwin,27,0
1881.0,3229.0,2240.0,989.0,356172.0,2019,Gladwin,27,0
1854.0,3159.0,2192.0,967.0,347358.0,2019,Gladwin,27,0
1838.0,3151.0,2179.0,972.0,340947.0,2019,Gladwin,27,0
1946.0,3350.0,2321.0,1030.0,368857.0,2019,Gladwin,27,0
1333.0,2280.0,1570.0,710.0,257424.0,2019,Gogebic,28,0
1313.0,2271.0,1546.0,725.0,251661.0,2019,Gogebic,28,0
1292.0,2237.0,1516.0,721.0,249767.0,2019,Gogebic,28,0
1293.0,2260.0,1533.0,727.0,247129.0,2019,Gogebic,28,0
1281.0,2230.0,1519.0,711.0,244915.0,2019,Gogebic,28,0
1260.0,2193.0,1497.0,696.0,238285.0,2019,Gogebic,28,0
1256.0,2180.0,1486.0,694.0,233973.0,2019,Gogebic,28,0
1248.0,2169.0,1469.0,700.0,232371.0,2019,Gogebic,28,0
1233.0,2132.0,1440.0,692.0,230015.0,2019,Gogebic,28,0
1209.0,2065.0,1404.0,661.0,231044.0,2019,Gogebic,28,0
1221.0,2093.0,1419.0,674.0,231413.0,2019,Gogebic,28,0
1204.0,2083.0,1411.0,672.0,221273.0,2019,Gogebic,28,0
1262.0,2183.0,1484.0,699.0,239106.0,2019,Gogebic,28,0
2997.0,5270.0,3353.0,1917.0,559499.0,2019,Grand Traverse,29,0
2939.0,5162.0,3293.0,1869.0,547319.0,2019,Grand Traverse,29,0
2917.0,5157.0,3272.0,1885.0,545913.0,2019,Grand Traverse,29,0
2932.0,5165.0,3290.0,1875.0,540575.0,2019,Grand Traverse,29,0
2945.0,5104.0,3294.0,1810.0,540296.0,2019,Grand Traverse,29,0
2961.0,5144.0,3305.0,1839.0,537105.0,2019,Grand Traverse,29,0
