county,year,month,cases,recipients,adult recipients,child recipients,payments,average per case,average per person,avg. recipients per case,ln_cases,ln_recipients,ln_payments,adult_share,child_share
Shiawassee,2017,10,4413.0,8445.0,5270.0,3175.0,982939.0,222.7371402673918,116.39301361752516,1.9136641740312712,8.392310009269547,9.041329829241901,13.79830234226994,0.6240378922439314,0.3759621077560687
Shiawassee,2017,11,4412.0,8425.0,5260.0,3165.0,971914.0,220.28875793291024,115.3607121661721,1.9095648232094289,8.392083380373393,9.038958755220563,13.787022602161969,0.6243323442136498,0.37566765578635014
Shiawassee,2017,12,4390.0,8372.0,5236.0,3136.0,969926.0,220.9398633257403,115.85355948399426,1.9070615034168565,8.387084506069217,9.03264808356589,13.784975058909644,0.6254180602006689,0.3745819397993311
Shiawassee,2018,1,4385.0,8327.0,5207.0,3120.0,944352.0,215.35963511972633,113.4084304071094,1.8989737742303308,8.385944904806284,9.02725852623582,13.758254256980594,0.6253152395820823,0.3746847604179176
Shiawassee,2018,2,4333.0,8245.0,5155.0,3090.0,938721.0,216.64458804523426,113.85336567616737,1.9028386798984538,8.374015421739909,9.0173622349937,13.7522735894395,0.6252274105518496,0.3747725894481504
Shiawassee,2018,3,4320.0,8189.0,5125.0,3064.0,930443.0,215.38032407407408,113.62107705458541,1.8956018518518518,8.371010681238156,9.010547069270189,13.743416095799631,0.6258395408474783,0.37416045915252166
Shiawassee,2018,4,4266.0,8089.0,5067.0,3022.0,929866.0,217.97140178152836,114.95438249474596,1.8961556493202063,8.358431899031295,8.998260393017953,13.742795768726545,0.6264062306836444,0.3735937693163555
Shiawassee,2018,5,4209.0,7958.0,4999.0,2959.0,906250.0,215.31242575433595,113.87911535561699,1.8907103825136613,8.344980368770571,8.981932990986873,13.717070485151021,0.6281729077657703,0.3718270922342297
Shiawassee,2018,6,4158.0,7769.0,4917.0,2852.0,893100.0,214.7907647907648,114.95687990732398,1.8684463684463684,8.332789468417959,8.95789673495042,13.702453835671978,0.6328999871283305,0.36710001287166943
Shiawassee,2018,7,4154.0,7739.0,4903.0,2836.0,891615.0,214.6401059220029,115.21062152732911,1.8630235917188251,8.331827004436057,8.95402775927046,13.700789704040087,0.6335443855795322,0.36645561442046776
Shiawassee,2018,8,4143.0,7742.0,4891.0,2851.0,885852.0,213.8189717595945,114.42159648669595,1.8686941829592083,8.329175442077402,8.954415331137593,13.69430517274461,0.6317489020924826,0.3682510979075174
Shiawassee,2018,9,4083.0,7641.0,4819.0,2822.0,870187.0,213.12441831986285,113.88391571783798,1.8714180749448934,8.314587291319576,8.941283763647567,13.676463410062667,0.6306766130087685,0.3693233869912315
Shiawassee,2018,10,4007.0,7474.0,4729.0,2745.0,860042.0,214.63488894434738,115.07118009098207,1.8652358372847517,8.295798110636145,8.91918561004543,13.664736504246495,0.6327267861921327,0.36727321380786726
Shiawassee,2018,11,3908.0,7330.0,4602.0,2728.0,845809.0,216.43014329580348,115.3900409276944,1.875639713408393,8.270781013162674,8.899730794880696,13.648048844777342,0.627830832196453,0.3721691678035471
Shiawassee,2018,12,3893.0,7296.0,4595.0,2701.0,851169.0,218.64089391215,116.66241776315789,1.874133059337272,8.266935347610456,8.895081531754167,13.65436597773339,0.629797149122807,0.37020285087719296
