county,year,month,ok_avg_recip_per_case,ok_avg_per_person,ok_avg_per_case,computed_avg_recip_per_case,computed_avg_per_person,computed_avg_per_case,reported_avg_recip_per_case,reported_avg_per_person,reported_avg_per_case
Bay,2020,4,True,True,True,1.8040784136998649,161.09086367326546,290.62054979720597,1.8,161.0,291.0
Bay,2020,5,True,True,True,1.8031000786251825,174.1526817417305,314.01471414130066,1.8,174.0,314.0
Bay,2020,6,True,True,True,1.7182753552180303,175.22490732820074,301.08463988241056,1.72,175.0,301.0
Bay,2020,7,True,True,True,1.6726259878222567,176.11757416156766,294.57883145485164,1.67,176.0,295.0
Bay,2020,8,True,True,True,1.6811516928818981,172.40635902315256,289.8412423353772,1.68,172.0,290.0
Bay,2020,9,True,True,True,1.709139072847682,171.00209237445753,292.26635761589404,1.71,171.0,292.0
Bay,2020,10,True,True,True,1.7301047120418849,178.9570282947496,309.6143979057592,1.73,179.0,310.0
Bay,2020,11,True,True,True,1.7472171887134351,180.42966145640418,315.24980585037537,1.75,180.0,315.0
Bay,2020,12,True,True,True,1.7538677918424754,179.02362032514398,313.983761667306,1.75,179.0,314.0
Bay,2021,1,True,True,True,1.7612355994429674,207.76092581943647,365.9159387264211,1.76,208.0,366.0
Bay,2021,2,True,True,True,1.759261584829838,209.10757370261973,367.87492151199297,1.76,209.0,368.0
Bay,2021,3,True,True,True,1.7525733892489517,209.2294974983685,366.69004956157073,1.75,209.0,367.0
Bay,2021,4,True,True,True,1.736078431372549,210.805888110835,365.97555555555556,1.74,211.0,366.0
Bay,2021,5,True,True,True,1.7408922914466738,230.48767912654486,401.2542238648363,1.74,230.0,401.0
Bay,2021,6,True,True,True,1.7454714970697922,203.81892407478063,355.7601225359616,1.75,204.0,356.0
Bay,2021,7,True,True,True,1.749200852424081,225.9722074164319,395.2707778369739,1.75,226.0,395.0
Bay,2021,8,True,True,True,1.7509665377949606,225.98743718592965,395.6964404746034,1.75,226.0,396.0
Bay,2021,9,True,True,True,1.7485101311084625,227.80360524123304,398.31691166732884,1.75,228.0,398.0
Bay,2021,10,True,True,True,1.7572435395458106,242.90842245989305,426.84925606891153,1.76,243.0,427.0
Bay,2021,11,True,True,True,1.7615284974093264,240.2861239797044,423.2708549222798,1.76,240.0,423.0
Bay,2021,12,True,True,True,1.7652890433886959,242.86704106192107,428.7305265868418,1.77,243.0,429.0
Bay,2022,1,True,True,True,1.7705124968442312,237.1290460573221,419.8399394092401,1.77,237.0,420.0
Bay,2022,2,True,True,True,1.7740366629255517,240.2722479966259,426.25177702955483,1.77,240.0,426.0
Bay,2022,3,True,True,True,1.775355095938201,238.3285844620675,423.1178669324695,1.78,238.0,423.0
Bay,2022,4,True,True,True,1.774969623329283,234.97405531215773,417.07181044957474,1.77,235.0,417.0
Bay,2022,5,True,True,True,1.7784900284900285,231.29855826992392,411.3621794871795,1.78,231.0,411.0
Bay,2022,6,True,True,True,1.774117059777861,240.66840180078785,426.97391738425057,1.77,241.0,427.0
Bay,2022,7,True,True,True,1.775021704080367,240.7606204583566,427.35532680143865,1.78,241.0,427.0
Bay,2022,8,True,True,True,1.7729789590254708,240.4354917065723,426.2870677986957,1.77,240.0,426.0
Bay,2022,9,True,True,True,1.7658764279572534,242.28505843071787,427.8454735290505,1.77,242.0,428.0
Bay,2022,10,True,True,True,1.7713625866050808,277.04096617031496,490.74000243101983,1.77,277.04,490.74
Bay,2022,11,True,True,True,1.7696581712767243,269.20326257593337,476.3977533518541,1.77,269.2,476.4
Bay,2022,12,True,True,True,1.7776036644165862,272.8407811758324,485.0027724204436,1.78,272.84,485.0
Bay,2023,1,True,True,True,1.7854832914121452,268.62044676997385,479.6173194394538,1.79,268.62,479.62
Bay,2023,2,True,True,True,1.7791681563580026,270.9373702190368,482.04314146108925,1.78,270.94,482.04
Bay,2023,3,True,True,True,1.7744665633567767,160.01094988579874,283.93408034330673,1.77,160.01,283.93
Bay,2023,4,True,True,True,1.7689362211319852,160.92444023540554,284.6650711977982,1.77,160.92,284.67
Bay,2023,5,True,True,True,1.768311626239694,161.20359483748902,285.05819094276495,1.77,161.2,285.06
Bay,2023,6,True,True,True,1.7708779443254818,160.8609431680774,284.86509635974306,1.77,160.86,284.87
Bay,2023,7,True,True,True,1.777724892908139,163.00869879518072,289.78462160875773,1.78,163.01,289.78
Bay,2023,8,True,True,True,1.7696032120925838,163.36002669336003,289.08242796410013,1.77,163.36,289.08
Bay,2023,9,True,True,True,1.770941788925698,164.08491448423302,290.58483199242784,1.77,164.08,290.58
Bay,2023,10,True,True,True,1.7655974621078605,174.40906368536633,307.936200211491,1.77,174.0,308.0
Bay,2023,11,True,True,True,1.7733553797094603,174.48091908091908,309.41667650879884,1.77,174.0,309.0
Bay,2023,12,True,True,True,1.7766796093658077,174.56794701986755,310.1513119190493,1.78,175.0,310.0
Bay,2024,1,True,True,True,1.7749794044957043,169.62140299695,301.07449688125223,1.77,170.0,301.0
Bay,2024,2,True,True,True,1.7648367084162473,170.169463421105,300.32131569706195,1.76,170.0,300.0
Bay,2024,3,True,True,True,1.7766419927153096,171.21572647311686,304.1890494653977,1.78,171.0,304.0
Bay,2024,4,True,True,True,1.775797373358349,172.14309297411515,305.6912523452158,1.78,172.0,306.0
Bay,2024,5,True,True,True,1.7748469147432877,172.61796709129513,306.3704663212435,1.77,173.0,306.0
Bay,2024,6,True,True,True,1.7756855360715547,172.73515376458113,306.72331411086265,1.78,173.0,307.0
Bay,2024,7,True,True,True,1.7749501583206286,174.6831185992732,310.0538290137211,1.77,175.0,310.0
Bay,2024,8,True,True,True,1.7677586004461665,174.40681455897982,308.3091464130562,1.77,174.0,308.0
Bay,2024,9,True,True,True,1.7689442439762542,173.12166875041126,306.24257944360374,1.77,173.0,306.0
Bay,2024,10,True,True,True,1.7746086956521738,172.1594799425062,305.51571014492754,1.77,172.0,306.0
