county_id,year,population_total,population_18_49,poverty_rate,bachelor_share
26131,2014,6448,1729,16.3,17.2
26131,2015,6298,1628,15.5,15.1
26131,2016,6165,1544,15.2,17.4
26131,2017,6072,1470,15.5,17.4
26131,2018,5968,1413,15.3,17.5
26131,2019,5877,1372,13.7,16.5
26131,2020,5802,1363,16,15.3
26131,2021,5891,1413,14.7,15
26131,2022,5862,1408,13.7,15.2
26133,2013,23404,8448,21.7,11.1
26133,2014,23327,8323,22.3,11.1
26133,2015,23234,8229,22,13.2
26133,2016,23172,8150,22.7,13
26133,2017,23221,8093,20.7,12.4
26133,2018,23232,8085,19.6,13.8
26133,2019,23290,8071,17.9,14.2
26133,2020,23323,8032,16.7,15
26133,2021,22917,7878,14.6,15.2
26133,2022,23022,7921,15.7,16.5
26135,2013,8590,2562,20.2,8.7
26135,2014,8525,2485,18.9,8.4
26135,2015,8444,2452,19.8,9.7
26135,2016,8374,2400,19.5,10.2
26135,2017,8304,2390,18.1,10.9
26135,2018,8277,2336,17.3,10.7
26135,2019,8248,2326,16.2,10.6
26135,2020,8282,2296,12.6,12
26135,2021,8206,2275,12.4,13.6
26135,2022,8264,2308,13.9,13.8
26137,2013,24127,8928,13.5,21.8
26137,2014,24126,8849,13.4,22.5
26137,2015,24141,8807,13.8,20.5
26137,2016,24198,8738,14.2,20.5
26137,2017,24247,8645,14.9,22
26137,2018,24397,8753,15,24.2
26137,2019,24490,8710,13.7,23.6
26137,2020,24613,8732,12.9,25.6
26137,2021,25016,8844,10.8,26.8
26137,2022,25221,8870,10.7,26.3
26139,2013,267017,117567,11.2,30.6
26139,2014,269795,118006,10.7,30.9
26139,2015,273136,119083,10.4,31.1
26139,2016,276583,120341,9.9,31.6
26139,2017,280243,121145,9.5,32.5
26139,2018,284034,122605,8.5,33.5
26139,2019,286558,123471,8.5,34.1
26139,2020,289162,124393,7.9,35.1
26139,2021,293713,126046,7.6,35.7
26139,2022,296183,127855,7.6,36.5
26141,2013,13234,3843,12.9,16.5
26141,2014,13128,3752,13.7,16.6
26141,2015,13037,3643,13.7,16.9
26141,2016,12955,3574,13.5,16.7
26141,2017,12854,3546,14.9,16.2
26141,2018,12797,3499,14.6,17.3
26141,2019,12714,3427,13.1,17.9
