id,county,year,month,date,G,y_raw,y_per1k_total,y_per1k_18_49,y_per100_lf,y_log_raw,y_log_per1k_total,y_log_per1k_18_49,y_log_per100_lf,y_log1p_raw,y_log1p_per1k_total,y_log1p_18_49,y_log1p_per100_lf
26049,Genesee,2017,12,2017-12-01,2018-07,48680,118.47712598051503,300.69800481808636,26.756220491483408,10.793023547101463,4.7747199122422606,5.706106454848049,3.286766988046074,10.793044089207646,4.783124938660498,5.709426533011184,3.323459976927187
26049,Genesee,2018,1,2018-01-01,2018-07,48685,118.9292580387482,303.12747106326543,26.821327045549705,10.793126253412856,4.778528846081404,5.714153413619808,3.2891973563292924,10.793146793409365,4.7869020526052,5.717446926227326,3.3258028864916995
26049,Genesee,2018,2,2018-02-01,2018-07,48594,118.7069603601711,302.56087765940885,26.621160409556317,10.791255345477046,4.7766579381455925,5.712282505683997,3.281706403660616,10.79127592393757,4.785046759245733,5.715582175753725,3.3185821604786345
26049,Genesee,2018,3,2018-03-01,2018-07,48401,118.23549385505702,301.3592015391416,26.483655982227866,10.78727575364831,4.772678346316856,5.7083029138552615,3.2765277873327068,10.787296414165029,4.7811004775477945,5.71161571965829,3.3135915000706926
26049,Genesee,2018,4,2018-04-01,2018-07,48235,117.82998380402627,300.32563554968897,26.497505987826585,10.783840177604654,4.769242770273201,5.704867337811606,3.2770506148962864,10.783860909223483,4.777693764006599,5.708191525655586,3.3140953092080556
26049,Genesee,2018,5,2018-05-01,2018-07,47986,117.22171872748015,298.77528656551,26.17565717340432,10.778664580680367,4.764067173348914,5.699691740887318,3.2648298633527673,10.778685419874725,4.772561833672205,5.703033149200358,3.302321615728827
26049,Genesee,2018,6,2018-06-01,2018-07,47930,117.08492015604809,298.4266137015983,25.941481473463156,10.777496892153676,4.762899484822224,5.698524052360629,3.2558432888019504,10.777517755695682,4.771404027972288,5.701869358153934,3.293667161061296
26049,Genesee,2018,7,2018-07-01,2018-07,47863,116.92125043665617,298.0094515251325,25.950303891217246,10.776098042322785,4.761500634991331,5.697125202529736,3.2561833201875383,10.776118935069867,4.770017032494845,5.700475183343035,3.2939945734033884
26049,Genesee,2018,8,2018-08-01,2018-07,47408,115.80976204377065,295.1764845058496,26.12486016741336,10.766546269813347,4.7519488624818935,5.687573430020299,3.262887357827143,10.766567363077213,4.760546646043457,5.690955508087398,3.3004506567289345
26049,Genesee,2018,9,2018-09-01,2018-07,46841,114.42467650802104,291.6461717587433,25.945230367014148,10.754514166757886,4.739916759426433,5.675541326964838,3.2559877918326703,10.754535515348346,4.74861816577289,5.67896427435573,3.293806300876252
26049,Genesee,2018,10,2018-10-01,2018-07,46086,112.58033862532092,286.9453143970762,25.417923701003236,10.738264495226737,4.723667087895284,5.659291655433689,3.2354545826851018,10.738286193554881,4.7325104158264315,5.6627705815406415,3.2740427078531766
26049,Genesee,2018,11,2018-11-01,2018-07,45231,110.49171757934928,281.62182692128084,24.685502840707528,10.719537971447028,4.704940564115575,5.64056513165398,3.20621614179736,10.719560079933371,4.7139503063415855,5.644109703365824,3.245926740940274
26049,Genesee,2018,12,2018-12-01,2018-07,44727,109.26053043646073,278.48377114607524,24.51103426733232,10.708332625096508,4.693735217765056,5.6293597853034605,3.199123394419297,10.708354982706481,4.702846023928677,5.632944227031297,3.239111074935626
26049,Genesee,2019,1,2019-01-01,2018-07,44645,109.45755439779343,280.092098824297,24.549103706147584,10.706497597951318,4.695536843037832,5.635118473457977,3.2006753446595044,10.706519996625316,4.704631324066741,5.638682369457316,3.2406022360401723
26049,Genesee,2019,2,2019-02-01,2018-07,44133,108.20226785167024,276.87993274527275,24.210855468878574,10.694963080918322,4.684002326004837,5.623583956424982,3.1868011056779633,10.694985739443027,4.693201830967594,5.627189123796699,3.2272746743360554
26049,Genesee,2019,3,2019-03-01,2018-07,43501,106.65277352129941,272.9149152414771,23.84295799351048,10.680539205318292,4.669578450404806,5.609160080824951,3.171488911409243,10.68056219303136,4.6789109877265,5.612817529848392,3.2125743318399467
26049,Genesee,2019,4,2019-04-01,2018-07,43281,106.1133925835121,271.5346876293964,23.725496645178264,10.675469018613882,4.664508263700397,5.604089894120542,3.1665502776879872,10.675492123173568,4.673888017101019,5.607765900054929,3.207834964068547
26049,Genesee,2019,5,2019-05-01,2018-07,42982,105.38032485442844,269.6588328293411,23.524968802679684,10.66853670238515,4.657575947471667,5.597157577891811,3.1580623593358004,10.668559967667536,4.667020643026641,5.600859108325979,3.1996917333886272
26049,Genesee,2019,6,2019-06-01,2018-07,42647,104.55899479007049,267.55712260185453,22.973824697117433,10.660712210469299,4.649751455555815,5.58933308597596,3.1343555112038692,10.660735658502597,4.659269988949299,5.593063638441961,3.1769625975498412
26049,Genesee,2019,7,2019-07-01,2018-07,42479,104.14710389212381,266.5031306071747,22.913812261983104,10.656765115149097,4.645804360235612,5.585385990655757,3.131739884280111,10.65678865591582,4.655360359136249,5.589131269471971,3.17445621091807
26049,Genesee,2019,8,2019-08-01,2018-07,42139,103.31351517008888,264.37005157032263,22.820271207001127,10.648728956654207,4.637768201740723,5.577349832160868,3.1276492289821127,10.64875268735818,4.64740093338274,5.581125272917195,3.1705369495466837
26049,Genesee,2019,9,2019-09-01,2018-07,41696,102.22739809990807,261.5907750605418,22.922988960724812,10.638160479924572,4.627199725011087,5.566781355431232,3.1321402917526884,10.638184462752868,4.636934303276658,5.570596832007711,3.174839877828052
26049,Genesee,2019,10,2019-10-01,2018-07,41766,102.39901930738584,262.0299383916584,22.844172181808236,10.639837890396722,4.628877135483237,5.568458765903381,3.1286960380622624,10.639861833030173,4.638595477574668,5.57226785988796,3.171539834511285
26049,Genesee,2019,11,2019-11-01,2018-07,41198,101.00643579528041,258.4664416477408,22.223540835041536,10.626144990470014,4.61518423555653,5.554765865976674,3.101152125028282,10.626169263198392,4.6250359073259615,5.558627374966956,3.1451664553867436
26049,Genesee,2019,12,2019-12-01,2018-07,41832,102.56083358872203,262.4440066752826,22.714043699231137,10.641416875867966,4.630456120954482,5.570037751374627,3.1229833983573254,10.64144078072663,4.640159204181977,5.573840847014412,3.166067433795045
26051,Gladwin,2014,10,2014-10-01,2018-07,3038,118.67651080120318,365.3198653198653,30.727217558410036,8.018954683155718,4.776401394933161,5.900773313159951,3.4251488272466766,8.019283792916793,4.784792359399458,5.903506900691711,3.4571749105558696
26051,Gladwin,2014,11,2014-11-01,2018-07,2986,116.64518145240048,359.0668590668591,30.10687638636822,8.001689978099135,4.759136689876578,5.883508608103369,3.4047535970381477,8.00202481821611,4.767673157703945,5.8862897338365645,3.437428900415936
26051,Gladwin,2014,12,2014-12-01,2018-07,2975,116.21547716707684,357.74410774410774,30.20304568527919,7.99799931797973,4.755446029757173,5.879817947983963,3.407942769801687,7.998335395952982,4.76401392616362,5.88260934253228,3.440515708169021
26051,Gladwin,2015,1,2015-01-01,2018-07,3008,117.95615858201639,367.681212565701,30.2068688491665,8.00903068506973,4.7703130179879905,5.907216292538169,3.408069343855694,8.009363076630045,4.778755009952775,5.909932348058161,3.4406382260067914
26051,Gladwin,2015,2,2015-02-01,2018-07,3010,118.03458687894593,367.92568145703456,30.33051189036679,8.009695357742922,4.770977690661182,5.90788096521136,3.412154198919321,8.010027528481734,4.7794140969237136,5.910595218490274,3.4445924434953814
26051,Gladwin,2015,3,2015-03-01,2018-07,3015,118.23065762126976,368.53685368536856,30.234657039711195,8.011355109161286,4.772637442079546,5.909540716629725,3.4089888505059287,8.011686729127847,4.781059916371644,5.912250474752558,3.441528280885611
26051,Gladwin,2015,4,2015-04-01,2018-07,2978,116.77973412807341,364.01417919569735,29.634789531296647,7.999007213243955,4.760289546162214,5.897192820712393,3.388948993183087,7.999342952713282,4.768816220153318,5.899936199939462,3.4221362759498937
26051,Gladwin,2015,5,2015-05-01,2018-07,2983,116.97580487039724,364.6253514240313,28.732421498747833,8.000684784514748,4.7619671174330085,5.898870391983188,3.3580261541156657,8.001019961323651,4.770479559970169,5.901609179145403,3.3922380833651373
26051,Gladwin,2015,6,2015-06-01,2018-07,2936,115.13273989255323,358.8803324776922,28.361669242658422,7.984803389734406,4.7460857226526665,5.882988997202845,3.3450385589818157,7.98514393119862,4.754733846301946,5.885771566405588,3.3796900564441485
26051,Gladwin,2015,7,2015-07-01,2018-07,2889,113.28967491470924,353.1353135313531,28.157894736842103,7.968665700466235,4.729948033384495,5.866851307934674,3.337827767729566,7.969011781106478,4.738736233515832,5.869679081712052,3.3727257075808432
26051,Gladwin,2015,8,2015-08-01,2018-07,2874,112.70146268773773,351.3017968463513,28.43011178158077,7.96346006663897,4.72474239955723,5.861645674107409,3.347448857473004,7.963807953231451,4.733576265121745,5.864488185664447,3.382018360457019
26051,Gladwin,2015,9,2015-09-01,2018-07,2839,111.32896749147092,347.0235912480137,28.55849512121517,7.951207156472972,4.712489489391231,5.84939276394141,3.3519544442489173,7.951559331155252,4.721431775867896,5.85227026841934,3.3863711854882457
26051,Gladwin,2015,10,2015-10-01,2018-07,2791,109.44668836516215,341.1563378560078,28.38401301739042,7.934155233536322,4.695437566454582,5.832340841004761,3.3458260647442573,7.934513463882263,4.70453294630356,5.835267760845266,3.3804507515267432
26051,Gladwin,2015,11,2015-11-01,2018-07,2772,108.70161954433159,338.8338833883388,28.277058043456083,7.927324360309794,4.688606693228054,5.825509967778233,3.342050806036159,7.927685045615778,4.697764130566296,5.828456919947362,3.3768042073870728
26051,Gladwin,2015,12,2015-12-01,2018-07,2755,108.03497902043058,336.7558978120034,28.30576389602384,7.9211727215870145,4.682455054505275,5.819358329055453,3.3430654551486128,7.9215356321335495,4.69166873919336,5.822323438751515,3.3777842166769934
26051,Gladwin,2016,1,2016-01-01,2018-07,2777,109.47293728071904,346.6916354556804,29.741887115775945,7.9291264873067995,4.695677370589138,5.848435726226532,3.392556392810965,7.9294865233142895,4.704770579475386,5.851315981938943,3.4256261258090084
26051,Gladwin,2016,2,2016-02-01,2018-07,2784,109.7488863484054,347.5655430711611,29.836030436180472,7.931644021454311,4.698194904736649,5.850953260374043,3.3957167382083795,7.932003152361385,4.707265353329816,5.853826284457472,3.42868382563053
26051,Gladwin,2016,3,2016-03-01,2018-07,2780,109.59120116687035,347.0661672908864,29.565032436456452,7.930206206684683,4.696757089967021,5.849515445604415,3.3865923263956974,7.930565854233965,4.7058405304702795,5.852392597594288,3.419856624708866
26051,Gladwin,2016,4,2016-04-01,2018-07,2777,109.47293728071904,346.6916354556804,30.047608742696386,7.9291264873067995,4.695677370589138,5.848435726226532,3.4027830818646794,7.9294865233142895,4.704770579475386,5.851315981938943,3.4355217922961567
26051,Gladwin,2016,5,2016-05-01,2018-07,2763,108.92103914534631,344.9438202247191,29.188675258821046,7.924072324923417,4.690623208205755,5.843381563843149,3.3737808004453145,7.92443418488756,4.699762282080612,5.846276392581684,3.4074668626241893
26051,Gladwin,2016,6,2016-06-01,2018-07,2730,107.62013639768203,340.8239700374532,28.818748020690382,7.912056888179006,4.678607771461344,5.831366127098738,3.3610261482915624,7.912423121473705,4.687856808338576,5.834295897062407,3.395137323904257
26051,Gladwin,2016,7,2016-07-01,2018-07,2691,106.08270587771514,335.9550561797753,28.305459135373933,7.897668150726906,4.664219034009244,5.816977389646638,3.343054688355967,7.898039690764619,4.673601488016434,5.819949557006827,3.377773817281309
26051,Gladwin,2016,8,2016-08-01,2018-07,2663,104.97890960696968,332.4594257178527,28.375066595631328,7.887208585813932,4.653759469096271,5.806517824733665,3.3455108227814145,7.88758403166028,4.663240108343728,5.809521195938821,3.380146239547075
26051,Gladwin,2016,9,2016-09-01,2018-07,2615,103.0866874285489,326.4669163545568,27.72476675148431,7.869019376499023,4.635570259781362,5.788328615418756,3.3223261202699077,7.86940171257709,4.645224084912505,5.791387031207855,3.357759703649086
26051,Gladwin,2016,10,2016-10-01,2018-07,2609,102.8501596562463,325.7178526841448,28.099084544965,7.866722285136729,4.633273168419067,5.786031524056461,3.3357369973380138,7.867105500316739,4.64294908769452,5.789096962611855,3.3707067147466936
26051,Gladwin,2016,11,2016-11-01,2018-07,2606,102.73189577009501,325.3433208489388,28.1851611507679,7.8655717576847906,4.632122640967129,5.784880996604523,3.338795639124711,7.865955413933502,4.641809645282661,5.7879499586512875,3.3736604003389132
26051,Gladwin,2016,12,2016-12-01,2018-07,2587,101.98289115780344,322.97128589263417,28.350684931506848,7.8582541821860294,4.624805065468368,5.777563421105762,3.3446511897234283,7.858640655620791,4.634562869168584,5.780654888076843,3.3793158826800664
